station_id|station_name|lon|lat|address
52|Americana|259708|7485109|Rua Suécia, 465 - Esquina com Av. Europa Vila Santa Maria – Americana
42|Campinas-Centro|288992|7465800|Av. Anchieta, 42 Centro – Campinas Escola Estadual Carlos Gomes
41|Campinas-Taquaral|288767|7468884|Av. Dr. Heitor Penteado, s/n° - Portâo 5 Parque Taquaral – Campinas
43|Campinas-V.União|282693|7460810|Rua Conselho das Sociedades de Bairro, 620 Parque Residencial Vila Uniâo – Campinas
37|Capão Redondo|318469|7381358|Estrada de Itapecerica, 5859 Capâo Redondo - Sâo Paulo Campus UNASP
28|Carapicuiba|312589|7396454|Av. Inocêncio Serâfico, esquina com Rua Sâo Miguel Carapiculba Reservatorio da SABESP
10|Cerqueira César|329269|7394205|Av. Dr. Arnaldo, 725 Sumaré - Sâo Paulo Faculdade de Saude Publica – USP
31|Cid.Universitária-USP-Ipen|322680|7392709|Av. Prof Lineu Prestes, 2242 Cidade Universitaria - Sâo Paulo IPEN-Instituto de Pesquisas Energéticas e Nucleares
8|Congonhas|330293|7387264|Al. dos Tupiniquins, 1571 Planalto Paulista - Sâo Paulo Escola Municipal Prof.J.C.da Silva Borges
24|Cubatão-Centro|355580|7358443|Rua Salgado Filho, 121 Pq.Fernando Jorge – Cubatâo Centro Social Urbano de Cubatâo
30|Cubatão-Vale do Mogi|360510|7363745|Av. Eng° Plinio de Queiroz, s/n° Jardim Sâo Marcos – Cubatâo
25|Cubatão-Vila Parisi|358583|7361752|Rua Prefeito Armando Cunha, 70 Vila Parisi – Cubatâo
15|Diadema|335670|7379622|Rua Benjamin Constant, 3 Vila Diadema - Diadema Prefeitura Municipal de Diadema
35|Guarulhos-Paço Municipal|344893|7405233|Rua Joâo Bernardo Medeiros, 173 Bom Clima - Guarulhos Paço Municipal
40|Guarulhos-Pimentas|355969|7407053|Rua Imperial, 230 Parque das Naçoes – Guarulhos Hospital Municipal Pimentas – Bonsucesso
5|Ibirapuera|330545|7389978|Parque do Ibirapuera s/n° - setor 25 Moema - Sâo Paulo
34|Interlagos|329195|7380142|Rua Domingas Galleteri Blota, 171 Campo Grande - Sâo Paulo Hospital Geral Pedreira
33|Itaim Paulista|354934|7400240|Rua Jaguar, 225 Itaim Paulista - Sâo Paulo Biblioteca Municipal Vicente Paulo Guimarâes
50|Itaquera|350334|7391504|Av. Fernando do Espirito Santo Alves de Matos,1000 Parque do Carmo - Sâo Paulo SESC Itaquera
54|Jacareí|400987|7423581|Av. Nove de Julho, 745 Jd. Pereira do Amparo – Jacarel Escola Técnica Agricola Cônego José Bento
74|Jundiaí|305834|7433959|Rua Amadeu Ribeiro, 500 Anhangabau - Jundiai Complexo Esportivo "Bolâo”
64|Limeira|253198|7502373|Largo Sâo Sebastiâo, 120 Boa Vista - Limeira Batalhâo Comunitario Boa Vista
36|Marg.Tietê-Ponte dos Remédios|322013|7397977|Av. Embaixador Macedo Soares, 12889 Vila Leopoldina - Sâo Paulo - Centro de Treinamento do Gabinete do Comando de Policiamento Rodoviario
22|Mauá|350501|7391701|Rua Vitorino Dell Antonia, 150 Vila Noêmia - Mauâ E.E.Professora Terezinha Sartori
3|Mooca|336644|7394711|Rua Bresser, 2341 Moöca - Sâo Paulo Centro Esportivo Municipal - Subprefeitura da Moöca
6|Nossa Senhora do Ó|327198|7402315|Rua Cap.José Amaral, 80 Vila Portuguesa - Sâo Paulo Escola Estadual Cacilda Becker
17|Osasco|317045|7397028|Av. dos Autonomistas, s/n° - esquina com Rua Sâo Mauricio Vila Quitauna - Osasco
29|Parelheiros|327086|7369511|Av.Paulo Guilguer Reimberg, 2448 Jd. Novo Horizonte - Sâo Paulo E.E.Pres.Tancredo de Almeida Neves
1|Parque D.Pedro II|333855|7395221|Parque D.Pedro II, s/n° Centro - Sâo Paulo Palacio das Industrias
44|Paulínia|278763|7480073|Praça Oadil Pietrobom, s/n° Vila Bressani – Paulinia
45|Paulínia - Sul|280664|7478496|Rua Angelo Pigatto Ferro, s/n° Bairro Santa Terezinha – Paulinia
27|Pinheiros|326287|7393293|Av. Prof.Frederico Hermann Jr., 345 Alto de Pinheiros - Sâo Paulo CETESB
77|Piracicaba|227797|7487124|Av. Monsenhor Martinho Salgot, 560 Vila Areâo - Piracicaba Campus FUMEP
79|Ribeirão Preto|206253|7658197|Rua General Câmara, 157 Ipiranga- Ribeirâo Preto Escola Estadual Edgardo Cajado
53|Santa Gertrudes|238993|7514053|Rua Nossa Senhora Aparecida, 320 - Jardim Luciana - Santa Gertrudes - SP - EMEI "Lygia Buschinelli”
2|Santana|333675|7399522|Av. Santos Dumont, 1019 Santana - Sâo Paulo Parque de Material Aeronautico
16|Santo Amaro|325596|7382927|Av. Padre José Maria, 355 Santo Amaro - Sâo Paulo - Centro Educacional e Esportivo Municipal Joerg Brüder
32|S.André-Paço Municipal|343866|7382911|Praça IV Centenârio, s/n° Centro - Santo André Paço Municipal
18|S.André-Capuava|347853|7384857|Rua Manâgua, 2 ParqueCapuava - Santo André Posto de Puericultura do Alto de Capuava
82|Santos|365576|7349234|Rua Dr.Oswaldo Cruz, 197 Boqueirâo - Santos Hospital Guilherme Alvaro
83|Santos-Ponta da Praia|367697|7347234|Praça Eng° José Rebouças, s/n° Ponta da Praia – Santos
19|S.Bernardo-Paulicéia|338401|7381261|Rua Xavier de Toledo, 521 Vila Paulicéia - Sâo Bernardo do Campo E.M. de Ensino Bâsico Arlindo Ferreira
38|S.Bernardo-Centro|342354|7378279|Rua dos Vianas, 625 - Bairro Baeta Neves, Sâo Bernardo do Campo
7|São Caetano do Sul|341225|7387152|Av. Presidente Kennedy, 700 Santa Paula - Sâo Caetano do Sul Hospital Municipal de Emergências Albert Sabin
55|S.José Campos|410840|7435414|Rua Ana Gonçalves Cunha, 40 Monte Castelo - Sâo José dos Campos Obra Social Célio Lemos
56|S.José Campos-Jd.Satélite|408858|7431443|Rua Cefeu, 664 Jardim Satélite - Sâo José dos Campos Centro Esportivo "Joâo do Pulo”
57|S.José Campos-Vista Verde|414962|7435902|Rua Estados Unidos, 435 Vista Verde - Sâo José dos Campos EMEF Prof. Waldemar Ramos
51|Sorocaba|246841|7398675|Rua Nhonhô Pires, 260 Vila Lucy – Sorocaba Escola Estadual Monsenhor Joâo Soares
20|Taboão da Serra|320607|7387923|Praça Nicola Vivilechio, 99 Jd. Bom Tempo - Taboâo da Serra
94|Tatuí|206499|7413627|Rua Ruy Barbosa, 601 Vila Valinho – Tatui Escola de Enfermagem Dr. Gualter Nunes
58|Taubaté|236029|7450577|Rua Espanha, 308 Jardim das Naçoes-Taubaté
