X,Y,station_id,station_name,lon,lat,address
-47.339549290976692,-22.724252699505101,52,Americana,259708,7485109,"Rua Suécia, 465 - Esquina com Av. Europa Vila Santa Maria – Americana"
-47.057200453345189,-22.902488819231028,42,Campinas-Centro,288992,7465800,"Av. Anchieta, 42 Centro – Campinas Escola Estadual Carlos Gomes"
-47.058972756686273,-22.874618944953514,41,Campinas-Taquaral,288767,7468884,"Av. Dr. Heitor Penteado, s/n° - Portâo 5 Parque Taquaral – Campinas"
-47.119280861865668,-22.946728416083911,43,Campinas-V.União,282693,7460810,"Rua Conselho das Sociedades de Bairro, 620 Parque Residencial Vila Uniâo – Campinas"
-46.780043383677587,-23.668356145671396,37,Capão Redondo,318469,7381358,"Estrada de Itapecerica, 5859 Capâo Redondo - Sâo Paulo Campus UNASP"
-46.835779727664956,-23.531395028307269,28,Carapicuiba,312589,7396454,"Av. Inocêncio Serâfico, esquina com Rua Sâo Miguel Carapiculba Reservatorio da SABESP"
-46.672704769253563,-23.553542561677389,10,Cerqueira César,329269,7394205,"Av. Dr. Arnaldo, 725 Sumaré - Sâo Paulo Faculdade de Saude Publica – USP"
-46.737414281952702,-23.566341775528837,31,Cid.Universitária-USP-Ipen,322680,7392709,"Av. Prof Lineu Prestes, 2242 Cidade Universitaria - Sâo Paulo IPEN-Instituto de Pesquisas Energéticas e Nucleares"
-46.663465527370818,-23.616320078817893,8,Congonhas,330293,7387264,"Al. dos Tupiniquins, 1571 Planalto Paulista - Sâo Paulo Escola Municipal Prof.J.C.da Silva Borges"
-46.418483361896229,-23.879026730687492,24,Cubatão-Centro,355580,7358443,"Rua Salgado Filho, 121 Pq.Fernando Jorge – Cubatâo Centro Social Urbano de Cubatâo"
-46.369568790874077,-23.831589008125242,30,Cubatão-Vale do Mogi,360510,7363745,"Av. Eng° Plinio de Queiroz, s/n° Jardim Sâo Marcos – Cubatâo"
-46.388676243142967,-23.849416169958914,25,Cubatão-Vila Parisi,358583,7361752,"Rua Prefeito Armando Cunha, 70 Vila Parisi – Cubatâo"
-46.611621932375591,-23.685876411713409,15,Diadema,335670,7379622,"Rua Benjamin Constant, 3 Vila Diadema - Diadema Prefeitura Municipal de Diadema"
-46.518533403057788,-23.455534258102091,35,Guarulhos-Paço Municipal,344893,7405233,"Rua Joâo Bernardo Medeiros, 173 Bom Clima - Guarulhos Paço Municipal"
-46.409948771000849,-23.440117007808965,40,Guarulhos-Pimentas,355969,7407053,"Rua Imperial, 230 Parque das Naçoes – Guarulhos Hospital Municipal Pimentas – Bonsucesso"
-46.660687502542437,-23.591841990137656,5,Ibirapuera,330545,7389978,Parque do Ibirapuera s/n° - setor 25 Moema - Sâo Paulo
-46.675043158308817,-23.68050765114964,34,Interlagos,329195,7380142,"Rua Domingas Galleteri Blota, 171 Campo Grande - Sâo Paulo Hospital Geral Pedreira"
-46.420736839492555,-23.501547360970068,33,Itaim Paulista,354934,7400240,"Rua Jaguar, 225 Itaim Paulista - Sâo Paulo Biblioteca Municipal Vicente Paulo Guimarâes"
-46.466651411458137,-23.580014831361758,50,Itaquera,350334,7391504,"Av. Fernando do Espirito Santo Alves de Matos,1000 Parque do Carmo - Sâo Paulo SESC Itaquera"
-45.968233864250877,-23.294199243541183,54,Jacareí,400987,7423581,"Av. Nove de Julho, 745 Jd. Pereira do Amparo – Jacarel Escola Técnica Agricola Cônego José Bento"
-47.400179290861274,-22.567490063108714,64,Limeira,253198,7502373,"Largo Sâo Sebastiâo, 120 Boa Vista - Limeira Batalhâo Comunitario Boa Vista"
-46.743320040847543,-23.518705831011879,36,Marg.Tietê-Ponte dos Remédios,322013,7397977,"Av. Embaixador Macedo Soares, 12889 Vila Leopoldina - Sâo Paulo - Centro de Treinamento do Gabinete do Comando de Policiamento Rodoviario"
-46.464995566723815,-23.578251394378075,22,Mauá,350501,7391701,"Rua Vitorino Dell Antonia, 150 Vila Noêmia - Mauâ E.E.Professora Terezinha Sartori"
-46.600416645337447,-23.549734045069208,3,Mooca,336644,7394711,"Rua Bresser, 2341 Moöca - Sâo Paulo Centro Esportivo Municipal - Subprefeitura da Moöca"
-46.692051922129508,-23.480098705950113,6,Nossa Senhora do Ó,327198,7402315,"Rua Cap.José Amaral, 80 Vila Portuguesa - Sâo Paulo Escola Estadual Cacilda Becker"
-46.792077661190866,-23.526721419003348,17,Osasco,317045,7397028,"Av. dos Autonomistas, s/n° - esquina com Rua Sâo Mauricio Vila Quitauna - Osasco"
-46.696961078366336,-23.776265984398712,29,Parelheiros,327086,7369511,"Av.Paulo Guilguer Reimberg, 2448 Jd. Novo Horizonte - Sâo Paulo E.E.Pres.Tancredo de Almeida Neves"
-46.627675592367169,-23.544845658680565,1,Parque D.Pedro II,333855,7395221,"Parque D.Pedro II, s/n° Centro - Sâo Paulo Palacio das Industrias"
-47.154842865731069,-22.77232137933596,44,Paulínia,278763,7480073,"Praça Oadil Pietrobom, s/n° Vila Bressani – Paulinia"
-47.136558881633661,-22.786806434378192,45,Paulínia - Sul,280664,7478496,"Rua Angelo Pigatto Ferro, s/n° Bairro Santa Terezinha – Paulinia"
-46.702016508477016,-23.56145989473076,27,Pinheiros,326287,7393293,"Av. Prof.Frederico Hermann Jr., 345 Alto de Pinheiros - Sâo Paulo CETESB"
-47.649652689880448,-22.701222340272071,77,Piracicaba,227797,7487124,"Av. Monsenhor Martinho Salgot, 560 Vila Areâo - Piracicaba Campus FUMEP"
-47.828480526634209,-21.153941891964337,79,Ribeirão Preto,206253,7658197,"Rua General Câmara, 157 Ipiranga- Ribeirâo Preto Escola Estadual Edgardo Cajado"
-46.628960299986716,-23.505992722247267,2,Santana,333675,7399522,"Av. Santos Dumont, 1019 Santana - Sâo Paulo Parque de Material Aeronautico"
-46.709998381760933,-23.654977229611077,16,Santo Amaro,325596,7382927,"Av. Padre José Maria, 355 Santo Amaro - Sâo Paulo - Centro Educacional e Esportivo Municipal Joerg Brüder"
-46.530918756473476,-23.656994199544574,32,S.André-Paço Municipal,343866,7382911,"Praça IV Centenârio, s/n° Centro - Santo André Paço Municipal"
-46.49163676578857,-23.639803699156669,18,S.André-Capuava,347853,7384857,"Rua Manâgua, 2 ParqueCapuava - Santo André Posto de Puericultura do Alto de Capuava"
-46.321170093654104,-23.963057204247367,82,Santos,365576,7349234,"Rua Dr.Oswaldo Cruz, 197 Boqueirâo - Santos Hospital Guilherme Alvaro"
-46.300509593541364,-23.981295157364347,83,Santos-Ponta da Praia,367697,7347234,"Praça Eng° José Rebouças, s/n° Ponta da Praia – Santos"
