X,Y,station_id,station_name,lon,lat,address
-38.539457572817213,-12.677622524943036,MALEMBA,MALEMBA,550041,8598515,-
-38.398881634912854,-12.595886767607746,LAMARAO,LAMARAO,565326,8607523,-
-38.321697957620287,-12.706435373705325,CAMARA,CAMARA,573678,8595277,-
-38.284400960249165,-12.757362971888259,MACHADINHO,MACHADINHO,577712,8589634,-
-38.273498399677393,-12.635723592223396,ESCOLA,ESCOLA,578933,8603083,-
-38.325926122997473,-12.604456911814683,CONCORDIA,CONCORDIA,573248,8606556,-
-38.333925136819936,-12.686781075511487,GRAVATA,GRAVATA,572356,8597454,-
-38.358848422245117,-12.630661625420075,COBRE,COBRE,569665,8603667,-
-38.224286706964065,-12.801554100634997,AREIAS,AREIAS,584223,8584728,-
-38.375192099661355,-12.641994474010586,LEANDRINHO,LEANDRINHO,567887,8602418,-
-38.368001018972365,-12.65679813737891,FUTURAMA II,FUTURAMA II,568664,8600779,-
