address|lat|lon|station_id|station_name
Armagh Lonsdale Road|54.353728|-6.654558|ARM5|Armagh Lonsdale Road
Ballymena Ballykeel|54.861595|-6.250873|BALY|Ballymena Ballykeel
Belfast Centre|54.599650|-5.928833|BEL2|Belfast Centre
Belfast Newtownards Road|54.594789|-5.857523|BEL5|Belfast Newtownards Road
Belfast Ormeau Road|54.587516|-5.923780|BEL0|Belfast Ormeau Road
Belfast Stockman's Lane|54.572586|-5.974944|BEL1|Belfast Stockman's Lane
Belfast Westlink Roden Street|54.591753|-5.949517|BE2|Belfast Westlink Roden Street
Castlereagh Dundonald|54.594577|-5.803313|CAS3|Castlereagh Dundonald
Derry Dale's Corner|54.996420|-7.310163|DER4|Derry Dale's Corner
Derry Rosemount|55.002851|-7.331128|DERR|Derry Rosemount
Downpatrick Roadside|54.328443|-5.715743|DPK1|Downpatrick Roadside
Limavady Dungiven|54.928400|-6.926879|LVD2|Limavady Dungiven
Lisburn Dunmurry Seymour Hill|54.543516|-6.008608|LIS5|Lisburn Dunmurry Seymour Hill
Lough Navar|54.439510|-7.900328|LN|Lough Navar
Newry Canal Street|54.180381|-6.339240|NWY5|Newry Canal Street
Newtownabbey Antrim Road|54.666013|-5.950219|NWT5|Newtownabbey Antrim Road
North Down Holywood A2|54.641963|-5.837939|ND2|North Down Holywood A2
Strabane Springhill Park|54.821427|-7.453291|SBAN|Strabane Springhill Park
