address|lat|lon|station_id|station_name
Anglesey Brynteg|53.307155|-4.274216|ANG5|Anglesey Brynteg
Anglesey Felin Cafnan|53.410479|-4.493642|AN10|Anglesey Felin Cafnan
Anglesey Llynfaes|53.290642|-4.406563|ANG2|Anglesey Llynfaes
Aston Hill|52.50385|-3.034178|AH|Aston Hill
Caerphilly Blackwood High Street|51.666667|-3.194919|CAE5|Caerphilly Blackwood High Street
Caerphilly Fochriw|51.74032|-3.2983|CAE8|Caerphilly Fochriw
Caerphilly White Street|51.573962|-3.218084|CAE4|Caerphilly White Street
Cardiff Centre|51.48178|-3.17625|CARD|Cardiff Centre
Chepstow A48|51.638094|-2.678731|CHEP|Chepstow A48
Cimla Road / Victoria Gardens|51.659617|-3.801693|NTH1|Cimla Road / Victoria Gardens
Cwmbran|51.6538|-3.006953|CWMB|Cwmbran
Hafod-yr-ynys Roadside|51.680579|-3.133508|CAE6|Hafod-yr-ynys Roadside
Marchlyn Mawr|53.136152|-4.074791|MAWR|Marchlyn Mawr
Nantgarw Road|51.57537|-3.231658|CAE7|Nantgarw Road
Narberth|51.781784|-4.691462|PEMB|Narberth
Newport M4 Junction 25|51.601262|-2.973273|NPT4|Newport M4 Junction 25
Newport St Julians Comp School|51.601203|-2.977281|NPT1|Newport St Julians Comp School
Port Talbot Docks|51.590233|-3.786049|PT7|Port Talbot Docks
Port Talbot Dyffryn School|51.572433|-3.751092|PT6|Port Talbot Dyffryn School
Port Talbot Little Warren|51.58493|-3.801069|PTLW|Port Talbot Little Warren
Port Talbot Margam|51.58395|-3.770822|PT4|Port Talbot Margam
Port Talbot Prince Street 2|51.579656|-3.766465|PT11|Port Talbot Prince Street 2
Port Talbot Talbot Road|51.591479|-3.779197|PT8|Port Talbot Talbot Road
Port Talbot Theodore Road|51.589942|-3.772005|PT10|Port Talbot Theodore Road
Port Talbot Twll-yn-y-Wal Park|51.576676|-3.759005|PT9|Port Talbot Twll-yn-y-Wal Park
Rhondda Glyncoch Garth Avenue|51.61968|-3.33232|RHD7|Rhondda Glyncoch Garth Avenue
Rhondda Mountain Ash|51.684393|-3.378816|RHD8|Rhondda Mountain Ash
Rhondda Pontypridd Gelliwastad Rd|51.604647|-3.338912|RHD6|Rhondda Pontypridd Gelliwastad Rd
Rhondda-Cynon-Taf Broadway|51.597845|-3.331923|RHD4|Rhondda-Cynon-Taf Broadway
Rhondda-Cynon-Taf Nantgarw|51.565439|-3.256145|RHD2|Rhondda-Cynon-Taf Nantgarw
Swansea Cwm Level Park|51.645733|-3.939392|SWA9|Swansea Cwm Level Park
Swansea Hafod DOAS|51.632927|-3.93854|SWA7|Swansea Hafod DOAS
Swansea Morriston Roadside|51.662122|-3.921301|SWA5|Swansea Morriston Roadside
Swansea Roadside|51.632696|-3.947374|SWA1|Swansea Roadside
Swansea St Thomas DOAS|51.625711|-3.934461|SWA8|Swansea St Thomas DOAS
Swansea Station Court High Street|51.625921|-3.941502|SW10|Swansea Station Court High Street
Twynyrodyn|51.744444|-3.365833|TWYN|Twynyrodyn
V Glamorgan Windsor Road Penarth|51.444567|-3.187042|GLM8|V Glamorgan Windsor Road Penarth
Wrexham|53.04222|-3.002778|WREX|Wrexham
