lon;lat;station_name;station_id;address;elev
-120.764433065643;38.342619326742;Jackson-Clinton Road;03614;201 Clinton Rd, Jackson CA 95642;390
-121.840496685102;39.7616931157923;Chico - East Avenue;04625;984 East Ave, Ste 4, Chico CA 95926;68
-121.591283929606;39.7792102494759;Paradise - Theater;04633;6701 Clark Rd, Paradise CA 95966;646
-121.668832896201;39.3275600247698;Gridley;04636;608 Cowee Av, Gridley CA 95948;32
-121.6173230472;39.7084760739028;Paradise - Airport;04638;4405 Airport Rd, Paradise CA 95969;389
-120.680288303738;38.2019025972729;San Andreas-Gold Strike Road;05633;501 Gold Strike Rd, San Andreas CA 95249;300
-121.998890754881;39.1891932931149;Colusa-Sunrise Blvd;06646;100 Sunrise Blvd, Colusa CA 95932;19
-122.385490428515;37.9262031535341;Richmond-Point Richmond;07432;140 W Richmond Ave, Richmond CA;6
-122.134476379821;38.0128648607734;Martinez-Jones Street;07434;521 Jones St, Martinez CA 94553;9
-122.302739200292;37.8647832823768;Berkeley - Aquatic Park;07436;1 Bolivar, Berkeley CA 94710;3
-122.233208004994;38.0548853234221;Crockett-Kendall Avenue;07437;Kendall Av, Crockett CA 94525;76
-122.364765909424;37.9480053188225;Richmond-7th Street;07441;7th St, Richmond CA 94805;11
-121.641961653221;38.0063218001919;Bethel Island Road;07442;5551 Bethel Island Rd, Bethel Island CA 94511;-1
-122.270356678844;38.0342899064032;Rodeo-Third St;07446;326 Third St, Rodeo CA 94572;20
-122.35682381667;37.9603940001383;San Pablo-Rumrill;07447;1865 Rumrill Blvd, San Pablo CA 94806;11
-122.026251060735;37.9360155869899;Concord;07448;2956-A Treat Blvd., Concord CA 94518;28
-120.821966744286;38.7253136110613;Placerville-Gold Nugget Way;09690;3111 Gold Nugget Way, Placerville CA 95667;612
-119.970475907354;38.9450062328081;South Lake Tahoe-Sandy Way;09691;3337 Sandy Way, South Lake Tahoe CA 96150;1905
-121.003389043253;38.8909565615429;Cool (seasonal);09693;1400 American River Trail, Cool CA 95614;473
-120.033093870991;38.8116524004324;Echo Summit (seasonal);09695;21200 US Hwy 50, Little Norway CA 95721;2250
-119.732433673611;36.7262189967613;Fresno - Pacific;10025;1716 S. Winery Ave, Fresno CA 93726;95
-119.503691251698;36.5974962753871;Parlier;10230;9240 S. Riverbend Av, Parlier CA 93648;104
-118.860615047531;34.8415797920461;Lebec;10240;Bear Trap Rd., Lebec CA 91350;1069
-120.034220012288;36.9532626858604;Madera City;10241;28261 Ave. 14, Madera CA 93638;88
-120.382333941685;36.6342585282066;Tranquility;10242;32650 West Adams Avenue, Tranquility CA 93668;63
-119.055046244907;36.031806195778;Porterville;10243;1839 South Newcomb Street, Porterville CA 93257;141
-119.741387496605;36.7055349122937;Fresno - Drummond;10244;4706 E. Drummond Ave, Fresno CA 93725;101
-119.874475047531;36.8415670293999;Fresno - Skypark;10245;4508 Chennault Ave, Fresno CA 93722;98
-120.101183768673;36.1986601008775;Huron - 4th Street;10247;16875 4th Street, Huron CA 93234;118
-119.716398012597;36.8193320513879;Clovis-N Villa Avenue;10248;908 N. Villa Av, Clovis CA 93612;113
-119.773136149845;36.785378997539;Fresno - Garland;10251;3727 N. 1st Street, Ste. 104, Fresno CA 93726;97
-119.777446272068;36.7108860206309;Fresno - Foundry Park;10252;2482 Foundry Park Ave, Fresno CA 93706;87
-122.190855101568;39.5338678147091;Willows-Colusa;11676;720 N. Colusa St., Willows CA;45
-124.179484600896;40.7767596954418;Eureka - Jacobs Ave.;12505;717 South  Ave., Eureka CA;31
-124.201486181753;40.7152572908277;Eureka - Humboldt Hill;12507;7333 Humboldt Hill Rd, Eureka CA 95503;165
-115.734269815077;33.3526494091706;Bombay Beach;13601;A St. & 3rd St., Bombay Beach CA 92257;-60
-115.623015395;33.1763797634122;Sonny Bono;13602;906 W Sinclair Rd., Calipatria CA 92233;-66
-115.855801803766;33.169133248593;Naval Test Base;13603;,  CA;-32
-115.900630840941;33.2724759521892;Salton City;13604;Salton City CA 92275;-61
-115.562946228857;32.7921367091709;El Centro-9th Street;13694;150 9th St, El Centro CA 92243;9
-115.623647770435;33.0324042482441;Westmorland;13697;570 Cook St., Westmorland CA 92281;-43
-115.483081796395;32.6761820787373;Calexico-Ethel Street;13698;1029 Belcher St, Calexico CA 92231;3
-115.539000047104;32.9782495137608;Brawley-Main Street #2;13701;220 Main St., Brawley CA 92227;-15
-115.5452217242;33.2134352411605;Niland-English Road;13997;7711 English Road, Niland CA 92257;-57
-117.95510001358;36.3261400844036;Dirty Socks;14022;Dirty Socks Pool Hwy 190, Coso Junction CA 93549;1099
-117.836721251698;36.4199660433468;Flat Rock;14024;North of 190, Olancha CA;1135
