lon;lat;name;station_id
-120.76443;38.34261;Jackson-Clinton Road;03614
-121.84047;39.76168;Chico - East Avenue;04625
-121.59135;39.77919;Paradise - Theater;04633
-121.66881;39.32756;Gridley;04636
-121.61731;39.70845;Paradise - Airport;04638
-120.68028;38.20185;San Andreas-Gold Strike Road;05633
-121.99887;39.18919;Colusa-Sunrise Blvd;06646
-122.38554;37.92617;Richmond-Point Richmond;07432
-122.13446;38.01285;Martinez-Jones Street;07434
-122.30270;37.86473;Berkeley - Aquatic Park;07436
-122.23321;38.05492;Crockett-Kendall Avenue;07437
-122.36485;37.94816;Richmond-7th Street;07441
-121.64191;38.00630;Bethel Island Road;07442
-122.27031;38.03435;Rodeo-Third St;07446
-122.35685;37.96040;San Pablo-Rumrill;07447
-122.02620;37.93600;Concord;07448
-120.82192;38.72528;Placerville-Gold Nugget Way;09690
-119.97061;38.94498;South Lake Tahoe-Sandy Way;09691
-121.00337;38.89094;Cool (seasonal);09693
-120.03308;38.81161;Echo Summit (seasonal);09695
-119.73249;36.72622;Fresno - Pacific;10025
-119.50369;36.59744;Parlier;10230
-118.86058;34.84155;Lebec;10240
-120.03419;36.95326;Madera City;10241
-120.38234;36.63424;Tranquility;10242
-119.05505;36.03179;Porterville;10243
-119.74139;36.70556;Fresno - Drummond;10244
-119.87444;36.84155;Fresno - Skypark;10245
-120.10117;36.19865;Huron - 4th Street;10247
-119.71639;36.81931;Clovis-N Villa Avenue;10248
-119.77321;36.78538;Fresno - Garland;10251
-119.77743;36.71088;Fresno - Foundry Park;10252
-122.19083;39.53387;Willows-Colusa;11676
-124.17949;40.77678;Eureka - Jacobs Ave.;12505
-124.20149;40.71527;Eureka - Humboldt Hill;12507
-115.73419;33.35264;Bombay Beach;13601
-115.62310;33.17638;Sonny Bono;13602
-115.85593;33.16923;Naval Test Base;13603
-115.90062;33.27275;Salton City;13604
-115.56299;32.79215;El Centro-9th Street;13694
-115.62362;33.03239;Westmorland;13697
-115.48307;32.67618;Calexico-Ethel Street;13698
-115.53904;32.97831;Brawley-Main Street #2;13701
-115.54514;33.21349;Niland-English Road;13997
-117.95509;36.32613;Dirty Socks;14022
-117.83672;36.41996;Flat Rock;14024
-117.89758;36.36632;Shell Cut;14025
-116.84767;36.50881;Death Valley Natl Monument;14151
-117.94399;36.04945;Coso Junction - Hwy. 395;14696
-118.05783;36.60897;Lone Pine-E Locust Street;14699
-118.04765;36.60753;Lone Pine Sewer Ponds;14700
-117.86148;36.05728;Coso Junction - Gate;14724
-117.99009;36.54226;North Beach Owens Lake;14727
-117.87104;36.48785;Keeler-Cerro Gordo Road;14728
-117.99298;36.26756;Olancha-Walker Creek;14729
-118.01079;36.36194;Owens Lake-Ash Point-Stanley;14730
-118.33080;37.36075;White Mountain Research Station;14732
-117.94180;36.54312;Lizard Tail;14733
-117.85185;36.45806;Mill;14734
-118.85183;35.34561;Edison;15242
-119.01679;35.43804;Oildale;15243
-119.40263;35.05156;Maricopa;15246
-119.27264;35.50349;Shafter;15248
-118.78863;35.23918;Arvin - Di Giorgio;15249
-118.14778;35.05045;Mojave;15252
-119.06261;35.35662;Bakersfield-California Avenue;15255
-119.01500;35.38562;Bakersfield-Golden;15256
-118.99990;35.33156;Bakersfield - Municipal Airport;15257
-118.99763;35.32464;Bakersfield - Airport;15258
-117.67296;35.62109;Ridgecrest - California Av;15300
-118.13770;35.72775;Canebrake;15310
-119.64323;36.31572;Hanford-S Irwin Street;16716
-119.56564;36.10220;Corcoran-Patterson Avenue;16719
-122.92229;39.03270;Lakeport-Lakeport Blvd;17713
-122.69950;38.77453;Anderson Springs;17720
-122.73620;38.85022;Hobergs-Pine Summit;17725
-122.75797;38.84846;Glenbrook;17728
-120.01011;36.86719;Madera - Pump Yard;20211
-122.52011;37.97230;San Rafael;21451
-122.53361;37.83361;Fort Cronkhite;21454
-119.58709;37.74871;Yosemite Village - Visitor Center;22742
-119.83957;37.54377;Jerseydale;22744
-119.70624;37.71314;Yosemite Natl Park-Turtleback;22746
-123.35264;39.41174;Willits - Justice Center;23754
-123.78766;39.43734;Fort Bragg - 300 Dana Street;23758
-123.20655;39.15047;Ukiah - Library;23764
