station_id;address;elev
04625;984 East Ave, Ste 4, Chico CA 95926;68
03614;201 Clinton Rd, Jackson CA 95642;390
04636;608 Cowee Av, Gridley CA 95948;32
06646;100 Sunrise Blvd, Colusa CA 95932;19
05633;501 Gold Strike Rd, San Andreas CA 95249;300
07432;140 W Richmond Ave, Richmond CA;6
04633;6701 Clark Rd, Paradise CA 95966;646
04638;4405 Airport Rd, Paradise CA 95969;389
07434;521 Jones St, Martinez CA 94553;9
07436;1 Bolivar, Berkeley CA 94710;3
07437;Kendall Av, Crockett CA 94525;76
07441;7th St, Richmond CA 94805;11
07442;5551 Bethel Island Rd, Bethel Island CA 94511;-1
07446;326 Third St, Rodeo CA 94572;20
07447;1865 Rumrill Blvd, San Pablo CA 94806;11
07448;2956-A Treat Blvd., Concord CA 94518;28
09690;3111 Gold Nugget Way, Placerville CA 95667;612
09691;3337 Sandy Way, South Lake Tahoe CA 96150;1905
09693;1400 American River Trail, Cool CA 95614;473
09695;21200 US Hwy 50, Little Norway CA 95721;2250
10025;1716 S. Winery Ave, Fresno CA 93726;95
10230;9240 S. Riverbend Av, Parlier CA 93648;104
10240;Bear Trap Rd., Lebec CA 91350;1069
10241;28261 Ave. 14, Madera CA 93638;88
10242;32650 West Adams Avenue, Tranquility CA 93668;63
10243;1839 South Newcomb Street, Porterville CA 93257;141
10244;4706 E. Drummond Ave, Fresno CA 93725;101
10245;4508 Chennault Ave, Fresno CA 93722;98
10247;16875 4th Street, Huron CA 93234;118
10248;908 N. Villa Av, Clovis CA 93612;113
10251;3727 N. 1st Street, Ste. 104, Fresno CA 93726;97
10252;2482 Foundry Park Ave, Fresno CA 93706;87
11676;720 N. Colusa St., Willows CA;45
12505;717 South  Ave., Eureka CA;31
12507;7333 Humboldt Hill Rd, Eureka CA 95503;165
13601;A St. & 3rd St., Bombay Beach CA 92257;-60
13602;906 W Sinclair Rd., Calipatria CA 92233;-66
13603;,  CA;-32
13604;N/A, Salton City CA 92275;-61
13694;150 9th St, El Centro CA 92243;9
13697;570 Cook St., Westmorland CA 92281;-43
13698;1029 Belcher St, Calexico CA 92231;3
13701;220 Main St., Brawley CA 92227;-15
13997;7711 English Road, Niland CA 92257;-57
14022;Dirty Socks Pool Hwy 190, Coso Junction CA 93549;1099
14024;North of 190, Olancha CA;1135
14025;North of 190, Olancha CA;1103
14151;Death Valley (near Furnace Creek), Death Valley CA 92328;127
14696;Highway 395 Rest Area, Coso Junction CA 93549;1030
14699;501 E. Locust Street, Lone Pine CA 93545;1141
