lon;lat;station_id;station_name;address;elev
-115.253327456227;36.1063882241454;43;Paul Meyer;4525 New Forest Dr.;736
-115.263025;36.169751;71;Walter Johnson;7701 Ducharme Dr.;771
-115.332736312521;36.1734250057152;73;Palo Verde;126 S. Pavilion Center Dr.;932
-115.238280543773;36.2705901956284;75;Joe Neal;6076 Rebecca;709
-115.052910006278;36.0487057239045;298;Green Valley;298 North Arroyo Grande;562
-115.078758468782;36.1419076130704;540;Jerome Mack;4250 Karen Ave;538
-115.113916;36.163959;561;Sunrise Acres;2501 South Sunrise Avenue;564
-114.846324775025;35.9781593068022;601;Boulder City;1005 Industrial Road;773
-115.357081468782;35.785671;1019;Jean;1965 State Hwy 161;924
-115.175661250085;36.1397224314414;1501;Rancho & Teddy;2755 South Rancho Drive;636
-115.13973876247;36.1743451876638;1502;Casino Center;500 N. Casino Center Boulevard;613
-115.122963468782;36.1912491956017;2002;JD Smith;1301 East Tonopah (B);569
-115.361370618765;36.3578175627463;8000;Las Vegas Paiute;off Paiute Way;932
-115.195343562606;36.2155956020805;9992;NLV Airport;2730 Airport Drive;671
