lon;lat;station_id;station_name;address;elev
-104.938268710682;39.8283852654042;80010008;Adams County Admin Building (ADM);4201 E. 72nd Avenue;
-105.099996162992;39.8003357533666;80590002;Arvada (ARV);9101 W. 57th;
-106.836135826749;39.1956849615079;80970007;Aspen (ASPN);585 Cemetery Lane;
-105.298358568869;39.5415058979003;80590013;Aspen Park (ASP);26137 Conifer Rd.;
-106.823239234159;39.1929751699344;80970008;Aspen PM (ASPN2);215 N. Garmisch St.;
-104.568974918258;39.6385895336949;80050006;Aurora East (AURE);36001 E. Quincy Ave.;
-105.220264255627;40.0702995864346;80130014;Boulder Reservoir (BOUR);5545 Reservoir Road;
-105.267204858736;40.0129781629032;80131001;Boulder-CU/Athens (BOU);2120 Marine St.;
-104.987645849955;39.7511896932898;80310002;CAMP (CAMP);2105 Broadway;
-105.030540124736;39.751779699642;80310014;Carriage (CRG);2325 Irving St.;
-105.07036645884;39.5344881422639;80350004;Chatfield Park (CHAT);11500 N. Roxborough Park Rd.;
-104.828588744084;38.8480085203832;80410017;Colorado College (CCOL);130 West Cache La Poudre;
-108.741001339882;39.1069178942422;80771001;Colorado National Monument (CO NM);CNM Headquarters;
-108.587177897367;37.3501512000384;80830006;Cortez Ozone (CTZ);106 W. North St.;
-108.073081977462;38.7392093207889;80290004;Delta (DELT);560 Dodge Street;
-104.997987830246;39.7039607020014;80310025;Denver Animal Shelter (DMAS);678 S. Jason St.;
-104.958134490103;39.7357328687859;80310016;DESCI (DES);1901 E. 13th Ave.;
-108.494275667197;40.3292140076855;80810003;Elk Springs (ELK);US 40, Elk Springs;
-105.078750427923;40.577466177192;80691004;Fort Collins - CSU (FTC);708 S. Mason St.;
-105.080006069809;40.5712526965885;80690009;Fort Collins - CSU Facilities (FTCF);251 Edison Dr., Ft. Collins, CO;
-105.075273745788;40.5838997289729;80690012;Fort Collins - DMA (DMA);300 Remington St.;
-105.275106268947;40.6421067040601;80690012;Fort Collins - Rist Canyon (FTCR);11822 Rist Canyon Road;
-105.14113994539;40.5925190277878;80690011;Fort Collins - West (FTCW);3416 W. LaPorte Ave.;
-108.561278392933;39.0637874321485;80770017;Grand Jct. Powell/PM2.5 (GJPB);650 South Ave.;
-108.561650056749;39.0642673938542;80770018;Grand Junction Shelter (GJCT);645 1/4 Pitkin Ave.;
-104.70687358138;40.4148277045434;81230006;Greeley - Hospital (GREH);1516 Hospital Rd.;
-104.73740669167;40.3863182420838;81230009;Greeley - Weld Co. Tower (GRET);3101 35th Ave.;
-104.957229549568;39.5679658777115;80050002;Highland (HLD);8100 S. University Blvd.;
-104.839265635962;38.8309069266738;80410015;Highway 24 (H24);690 W. US Hwy 24;
-105.015321374354;39.7321176892234;80310027;I-25 Denver (I25DEN);971 Yuma Street;
-104.988878383197;39.785912987242;80310028;I-25 Globeville (I25GLO);4905 Acoma Street, Denver;
-105.005185372707;39.7794887773618;80310026;La Casa (CASA);4545 Navajo Street;
-102.626186560172;38.1137892425097;80990003;Lamar Met - Port of Entry (LAM);7100 U.S. Hwy. 50;
-105.100791754977;40.1645985743642;80130003;Longmont - Municipal (LNGM);350 Kimbark St.;
-104.901390483805;38.8530723127097;80410016;Manitou (MAN);401 El Monte Place;
-104.939961971193;39.7385868348924;80310013;National Jewish Hospital (NJH);14th Ave & Albion St.;
-105.179095029068;39.7432067568529;80590011;NREL - South Table Mtn. (NREL);2054 Quaker St.;
-108.31361240865;39.1306798220669;80770020;Palisade Ozone & Met (PAL);865 Rapid Creek Rd.;
-108.945025231992;38.3424667049611;80850005;Paradox (PDX);7250 County Road 5;
-107.784051716403;39.5418122169622;80450012;Rifle Ozone (RIFLO3);195 W.14th Ave.;
-107.782182960097;39.5319191199177;80450007;Rifle PM (RIFL);144 E. 3rd Ave.;
-105.188595775059;39.9128162410027;80590006;Rocky Flats - North (RFN);16600 W. Highway 128;
-104.817227411569;38.9583394426816;80410013;U.S. AF Academy (ACAD);Road 640, USAF Academy;
-104.949851831836;39.8382164216386;80013001;Welby (WBY);3174 E. 78th Ave;
-105.139507669104;39.6387848353443;80590005;Welch (WCH);12400 W. Hwy. 285;
