station_id;timezone
BIBE-KB;US/Central
CANY-IS;US/Mountain
CAVE-MA;US/Mountain
CHIR-ES;US/Mountain
CIRO-JC;US/Mountain
COLM-MY;US/Mountain
CRMO-VC;US/Mountain
CUGA-HS;US/Eastern
DEVA-PV;US/Pacific
DETO-JR;US/Mountain
DINO-WE;US/Mountain
EVER-BC;US/Eastern
GLAC-WG;US/Mountain
GRCA-AS;US/Mountain
GRTE-SS;US/Mountain
GRBA-MY;US/Pacific
GRSM-CD;US/Eastern
GRSM-CM;US/Eastern
GRSM-LR;US/Eastern
JOTR-BR;US/Pacific
JOTR-CC;US/Pacific
JOTR-PW;US/Pacific
KIMO-BM;US/Eastern
LAVO-ML;US/Pacific
LIRI-CH;US/Central
LYJO-HB;US/Central
MACA-HM;US/Central
MEVE-RM;US/Mountain
MOJA-KM;US/Pacific
MORA-TW;US/Pacific
OLYM-DP;US/Pacific
PEFO-SE;US/Mountain
PINN-ES;US/Pacific
ROMO-LP;US/Mountain
RUCA-VC;US/Central
SCBL-VC;US/Mountain
SEKI-AS;US/Pacific
SEKI-LK;US/Pacific
SHEN-BM;US/Eastern
VOYA-SB;US/Central
YELL-OF;US/Mountain
YELL-WT;US/Mountain
YOSE-SY;US/Pacific
YOSE-TD;US/Pacific
ZION-DW;US/Mountain
MEEK-PS;US/Mountain
RANG-GC;US/Mountain
WALD-CR;US/Mountain
ACAD-CM;US/Eastern
ACAD-MH;US/Eastern
BADL-VC;US/Mountain
CACO-XX;US/Eastern
CHAM-XX;US/Mountain
COSW-BL;US/Eastern
COWP-SM;US/Central
EVER-CR;US/Eastern
GRSM-CC;US/Eastern
GRSM-PK;US/Eastern
INDU-AB;US/Central
MORA-JV;US/Pacific
SAGU-EA;US/Mountain
THRO-VC;US/Mountain
WICA-VC;US/Mountain
YELL-WS;US/Mountain
YOSE-VI;US/Pacific
DENA-HQ;US/Alaska
HAVO-OB;US/Hawaii
HAVO-VC;US/Hawaii
