lon;lat;station_name;state;abr;station_id;elev
-103.177860896301;29.3026649964629;Big Bend K-Bar Ranch Road;TX;BIBE-KB;48-043-0101;1052
-109.821054938889;38.4584882626474;Canyonlands Island in the Sky;UT;CANY-IS;49-037-0101;1809
-104.4417;32.1792;Carlsbad Caverns Maintenance Area;NM;CAVE-MA;35-015-3001;1310
-109.389074830246;32.0094228923118;Chiricahua Entrance Station;AZ;CHIR-ES;04-003-8001;1570
-113.729583019447;42.0268730687582;City of Rocks Juniper Campground;ID;CIRO-JC;16-031-0001;1914
-108.740999864197;39.1069156245143;Colorado Maintenance Yard;CO;COLM-MY;08-077-1001;1740
-113.561754395676;43.4621263306649;Craters of the Moon Visitor Center;ID;CRMO-VC;16-023-0101;1815
-83.5263599456787;36.6724200430058;Cumberland Gap Hensley Settlement;TN;CUGA-HS;21-013-1002;1013
-116.847900980091;36.5089887258357;Death Valley Park Village;CA;DEVA-PV;06-027-0101;125
-148.957813078169;63.7246684332739;Denali Headquarters;AK;DENA-HQ;02-068-0003;661
-104.7047;44.5969;Devil’s Tower Joyner Ridge Trail;WY;DETO-JR;56-011-1013;1200
-108.938766020966;40.2907757982796;Dinosaur West Entrance Housing;UT;DINO-WE;49-047-1002;2072
-80.6805836141413;25.3909392814339;Everglades Beard Center;FL;EVER-BC;12-086-0030;2
-113.996864214516;48.5102651722722;Glacier West Glacier Horse Stables;MT;GLAC-WG;30-029-8001;976
-112.183596894455;36.0586395453643;Grand Canyon The Abyss;AZ;GRCA-AS;04-005-8001;2073
-110.599487618828;43.6708507010791;Grand Teton Science School;WY;GRTE-SS;56-039-0008;2105
-114.216000271606;39.0051540980217;Great Basin Maintenance Yard;NV;GRBA-MY;32-033-0101;2060
-83.4973032945156;35.562252310444;Great Smoky Mountains Clingmans Dome;TN;GRSM-CD;47-155-0102;2021
-83.609686473465;35.696673570345;Great Smoky Mountains Cove Mountain;TN;GRSM-CM;47-155-0101;1243
-83.9415916749954;35.6334214772497;Great Smoky Mountains Look Rock;TN;GRSM-LR;47-009-0101;793
-155.288125749207;19.419990928039;Hawaii Volcanoes Observatory /Jaggar Museum;HI;HAVO-OB;15-001-0007;1123
-155.25713052063;19.4315991174835;Hawaii Volcanoes Visitor Center;HI;HAVO-VC;15-001-0005;1215
-116.39090040741;34.0716799439974;Joshua Tree Black Rock;CA;JOTR-BR;06-071-9002;1244
