lon;lat;station_id;station_name;address;elev
-116.369364643933;48.7056479854259;102;Bonners Ferry KTOI;COUNTY ROAD 38A;
-116.556707669454;48.2921256135839;114;Sandpoint PM;1601 Ontario;637.946400000000040
-116.804560206828;47.7889069736539;170;Lancaster BAM 1020;NORTH OF W LANCASTER RD NEAR HAYDEN;705.916799999999970
-116.236922740214;47.5367329504423;135;Pine PM Map;SOUTH 201 THIRD ST;680.008799999999950
-116.885963206408;47.338580530592;96;Plummer (PM2.5);Plummer;
-116.570773583479;47.3168885314703;181;St Maries BAM 1020;10th St and Center Ave;661.111200000000050
-116.992589822246;46.4083388560399;208;Lewiston PM25 BAM;1200 29TH ST;284.988000000000000
-116.95918;46.721932;210;Moscow PM25 BAM;1025 PLANT SCIENCES RD;799.795200000000020
-116.106687201249;44.9069249965498;18;McCall USFS (PM2.5);USFS OFFICE N MISSION ST;1617.573599999999900
-116.115498625221;45.9312058418374;207;Grangeville PM25 BAM;MT IDAHO RD AND HARPSTER GRADE RD;1046.683199999999900
-115.973282541276;44.1043814841717;11;Garden Valley (PM2.5);946 BANKS-LOWMAN RD;940.612799999999990
-113.89028251127;45.1819053251291;39;Salmon (PM2.5-BAM);618 NORTH ST CHARLES ST;1196.949599999999900
-115.83976839739;43.8228844087121;14;Idaho City (PM2.5);3851 HIGHWAY 21;1183.538399999999900
-116.213711243256;43.6189540803555;30;Boise Fire Station #5 (PM10);212 SOUTH 16TH ST;817.473600000000030
-116.347936880829;43.600755790425;108;St Lukes;520 South Eagle Road;690.067199999999960
-116.562629830247;43.5803019804635;163;Nampa Particulate;923 1ST STREET;758.037600000000000
-114.494950438017;42.5651768332958;195;Rock Creek BAM;650 ADDISON AVE;1129.893600000000100
-112.460003812845;42.8769200585009;134;Pocatello PM;CORNER OF GARRETT AND GOULD STS;1367.028000000000000
-112.046515116446;43.4647037872284;180;Idaho Falls BAM;HICORY & SYCAMORE ST;1428.902399999999900
-111.809996316092;42.0135036057846;36;Franklin (PM2.5-BAM);EAST 4800 SOUTH;
