X;Y;station_id;name;address;lat;lon;address_1
-87.036236;41.512118;28;Valparaiso;1000 Wesly Rd./Water Department;41.512118000000001;-87.036236000000002;256
-87.305036175820192;41.60654439480188;31;Gary-IITRI;201 Mississippi St. (IITRI Bunker);41.606667000000002;-87.304721999999998;183
-87.14693510839993;41.616554281714322;30;Portage-Hwy 12;Bethlehem Steel Waste Lagoon Hwy 12;41.616560999999997;-87.146921000000006;183
-87.461510021824807;41.629071625682023;11;East Chicago-Post Office;901 E. Chicago Ave. (Post Office);41.629072999999998;-87.461554000000007;177
-87.199705732646152;41.61796177083955;13;Ogden Dunes;84 Diana Rd. Water Treatment Plant;41.617500000000000;-87.199167000000003;183
-87.496013307820064;41.638844797362957;6;Hammond-141st St;1300 E. 141st St.;41.639443999999997;-87.493611000000001;183
-86.684730435151735;41.629150429371393;34;LaPorte-E. Lincolnway;2011 E. Lincolnway;41.629167000000002;-86.684443999999999;244
-86.907786;41.717762;16;Michigan City-W. Michigan Blvd;490 W. Michigan Blvd.;41.717762000000000;-86.907786000000002;189
-87.474440256920943;41.585404016995334;47;Hammond-Purdue;2233 171st St. Purdue University Calumet;41.585278000000002;-87.474444000000005;183
-85.8252323977418;41.717085436610567;18;Bristol;705 Indiana Ave. (Bristol Elem Sch);41.716959000000003;-85.824696000000003;232
-87.304859930847897;41.606605697400937;82;Gary-IITRI;201 Mississippi St. (IITRI Bunker);41.606667000000002;-87.304721999999998;183
-86.21472769469176;41.696706862842383;5;South Bend-Shields Dr;2335 Shields Drive;41.696666999999998;-86.214721999999995;226
-86.37030273610057;41.551451424180847;21;Potato Creek State Park;25601 State Rd.4 Potato Creek State Park;41.551667000000002;-86.370555999999993;233
-86.110092187019191;41.754893337490223;74;Granger-Beckley St;12441 Beckley St.;41.754722000000001;-86.109999999999999;216
-85.101868146192686;41.094996660188414;7;Fort Wayne-Beacon St;2022 North Beacon;41.094965000000002;-85.101815999999999;232
-85.968446;41.657155;72;Elkhart-Prairie St;2745 Prairie St.;41.657155000000003;-85.968446000000000;232
-85.37962687839088;40.959696831149806;27;Roanoke Elem. School;423 W. Vine St.;40.959603999999999;-85.379610000000000;244
-85.629294094101027;41.169675529171315;70;Larwill;710 N. State Rd. 5 (Whitko Middle School);41.169722000000000;-85.629444000000007;289
-85.016974505626777;41.221429232119036;19;Leo HS;14600 Amstutz Rd.;41.221418000000000;-85.016820999999993;256
-87.401312;39.485987;9;Terre Haute-Lafayette Ave;961 Lafayette Ave.;39.485987000000002;-87.401312000000004;140
-86.553050931629315;40.54042667710344;36;Flora;481 S. 150 W./150 W. Rd. South of SR 18 (Flora Airport);40.540455000000001;-86.553034999999994;207
-87.668249595319651;39.210854437584842;38;West Union;416 South St. Highway 1;39.210856999999997;-87.668296999999995;140
-87.312902218113649;39.55853909328335;37;Sandcut;7597 N. Stevenson Rd.;39.558525000000003;-87.312882999999999;165
-86.852553017208123;40.431626132568745;51;Lafayette-Greenbush St;3401 Greenbush St. (Cinergy Substation);40.431666999999997;-86.852500000000006;195
-85.656394040178199;40.00251860044547;25;Emporia;893 E. US 36 (East Elem Sch);40.002510999999998;-85.656390999999999;274
-85.652127;40.12569;35;Anderson-Eastside Elem. School;844 N. Scatterfield Rd. (Eastside Elem Sch);40.125689999999999;-85.652126999999993;262
-86.060902924098329;39.78949229906609;1;Indpls-E.16th St;6125 E. 16th. St.;39.789166999999999;-86.060833000000002;253
-85.52347;40.009544;39;Mechanicsburg;7354 W. US36 Shenandoah High School;40.009543999999998;-85.523470000000003;305
-86.114429250586653;39.81118611830798;42;Indpls-Washington Park;3120 E. 30th St. (Washington Park);39.810833000000002;-86.114444000000006;230
-85.245909384561131;40.300481273394048;40;Albany;700 W. State St. (Albany Elem Sch);40.300384999999999;-85.245862000000002;287
-86.214646294932663;39.788881934193718;55;Indpls-W. 18th St;3351 W. 18th St. (School 90);39.788888999999998;-86.214721999999995;222
-86.186275740693617;39.749011592700292;56;Indpls-Harding St;1321 S. Harding St.;39.749026999999998;-86.186268999999996;213
-86.114433154843141;39.811146208130666;57;Indpls-Washington Park;3120 E. 30th St. (Washington Park);39.810833000000002;-86.114444000000006;230
-86.160041545533346;39.768158265928236;58;Indpls-Illinois St;50 N. Illinois St.;39.768056000000001;-86.159999999999997;216
-86.152355907109111;39.417141513452457;64;Trafalgar;200 W. Pearl St. (Indian Creek Elem Sch);39.417155000000001;-86.152405999999999;244
-86.021437866560092;39.859068702833881;60;Indpls-Ft. Harrison;5753 Glenn Road (Fort Harrison St Park);39.858888999999998;-86.021388999999999;257
-86.477812591483797;39.57540111829676;63;Monrovia;135 S. Chestnut St. (Monrovia HS);39.575409000000001;-86.477851999999999;238
-86.395709268129607;39.997763541956118;65;Whitestown;3900 E. 300 S. (Perry-Worth Elem Sch);39.997773000000002;-86.395393999999996;280
-86.398500656154624;39.758783385176585;66;Avon;7203 E. US 36;39.758889000000003;-86.398611000000002;250
-85.870776191164083;39.613154194012502;68;Fairland;4740 W. 600 N. (Triton Central MS);39.613366999999997;-85.870669000000007;244
-86.234931891323939;39.664606767504715;73;Indpls-Southport;3800 W. Southport Rd. (Southport Advanced Wastewater Treatment Plant);39.664498000000002;-86.234898000000001;195
