lon;lat;station_id;station_name;address;elev
-70.2073341529832;43.5610434965274;23-005-2003;Cape Elizabeth;Two Lights State Park;24
-70.4710525892708;43.3431687525105;23-031-2002;Kennebunkport;Ocean Avenue;6
-68.2609372121294;44.3771094996769;23-009-0103;McFarland Hill;Route 233;156
-69.2607600588415;43.9179625685869;23-013-0004;Port Clyde;Marshall Point Road;9
-67.5956093828156;44.5317180612375;23-029-0019;Jonesport;Public Landing;16
-67.0607347369179;44.9636347287658;23-029-0032;Sipayik (Pleasant...;184 County Road;4
-68.2268980489938;44.3517566623007;23-009-0102;Cadillac;Top of Cadillac Mountain;463
-70.8547770816558;44.3778163130623;23-017-0002;Bethel;Smith Farm Road;203
-70.124609513594;43.974690181257;23-001-0014;Durham;Route 9;50
-69.7849861508846;44.2306356147512;23-011-2005;Gardiner;Pray Street;55
-70.8771782753557;43.5889287146961;23-031-0040;Shapleigh Ball Park;Route 11;171
-70.6290511366168;43.6567184937966;23-031-0038;West Buxton;Plains Road;84
-68.6709569921101;44.7361160535406;23-019-4008;Holden;Summit of Rider’s Bluff;250
-68.3209298187042;47.3552706177038;23-003-0014;Madawaska;East Maine St.;177
-68.0389846974571;46.6985014253243;23-003-1008;Presque Isle;528 Central Drive;158
-70.2118920239867;45.0802845697952;23-007-2002;Carrabassett;1001 Carriage Rd Carrabassett Valley;264
-70.5463143307502;44.5514366328309;23-017-2011;Rumford;Rumford Ave. Parking Lot;135
-70.2142270980338;44.089413772315;23-001-0011;Lewiston;Canal Street;50
-68.8202066135505;44.8166078101588;23-019-0010;Bangor;BIA Bldg. 489, Bangor Airport;50
-68.7696630972485;44.7988624673445;23-019-0002;Bangor;Washington Street;10
-70.2689929167263;43.6602640156893;23-005-0029;Portland Deering ...;356 State St.;4
