lon;lat;station_id;station_name;address;elev
-108.51154518527;45.7804091656946;SL;Billings;2nd Ave. North and North 32nd Street;965
-106.489822310787;45.3661538433718;BI;Birney;3 miles north of Birney;961
-111.05633415801;45.6837694478035;BH;Bozeman;N. 15th Ave.;1468
-105.370262695455;45.4403077149459;BD;Broadus;2 miles east of Broadus;944
-112.501250592763;46.0026077350783;BN;Butte;-;1682
-114.189269016166;48.3637153860638;FV;Flathead Valley;610 13th St West.;928
-114.224269834697;47.0129126950945;FT;Frenchtown;-;933
-111.303333631846;47.4943271583476;OP;Great Falls;10th Ave. S. and 2nd St. E.;1021
-114.158865230351;46.2436252054075;PS;Hamilton;Madison and 3rd St. South;1088
-112.013102442367;46.6587663045582;RP;Helena;1497 Sierra Rd. East;1139
-115.552268920478;48.3916801562005;LB;Libby;418 Mineral Ave.;634
-107.862253714218;48.3175253305127;ML;Malta:2309 Short Oil Road;785
-114.020582392932;46.8423027098187;MS;Missoula;3131 Washburn Rd.;969
-113.476170127067;47.1756351844963;SE;Seeley Lake;School Lane;1239
-104.485580979936;47.803403010188;OF;Sidney;15 miles northwest of Sidney;776
-115.323750607223;47.5943945196308;TF;Thompson Falls;Golf and Haley;750
-111.089610980041;44.6570190742187;PE;West Yellowstone;West Entrance to National Park;2030
-109.455359287137;47.048515642473;LT;Lewistown;303 East Aztec Drive;1253
