lon;lat;station_id;station_name;address;elev
-108.474045630854;36.7971322151575;1;1H San Juan Substation;Shiprock Electrical Substation;1642.872
-107.977495332856;36.7420161292255;4;1ZB Bloomfield;162 Highway 550;1618.488
-107.651590999485;36.8097540924845;81;1NL Navajo Lake;423 Highway 539, Navajo Lake Airport;1950.110
-105.58333;36.38333;26;3ZD Taos Fire Station;Santiago Rd Fire Station;2122.322
-106.698391678149;36.187737415781;103;3CRD Coyote Ranger District;21 New Mexico 96, Coyote, NM 87012;2229.002
-106.079555543084;35.6198112353385;97;3SFA Santa Fe Airport;NE of Airport Terminal;1929.994
-106.476744939639;35.3289041200787;108;Placitas PM;-;
-106.548402508432;35.2994644198436;8;2ZJ Bernalillo;Highway Dept.;1542.898
-106.739661423499;34.8147852528828;93;2LL Los Lunas;NM State Office Campus;1488.643
-103.122876046066;32.7267517533937;38;5ZS Hobbs Jefferson;2320 N. Jefferson St.;1110.082
-104.261681080923;32.3799330018482;35;5ZR Carlsbad;2811 Holland St.;975.360
-107.722642929832;32.2557811636114;90;7E Deming Airport;South end of Deming Airport;1313.078
-106.673962092133;32.4246022339887;63;6ZL Holman Rd;Las Cruces Well #41;1356.360
-106.768096593794;32.3177579795968;72;6ZQ Solano Drive;750 N. Solano Drive;1212.799
-106.864957309822;32.2780826503789;50;6WM West Mesa;West Mesa Well #46;1279.855
-106.409610436403;32.0411285512395;60;6ZK Chaparral;680 McCombs;1249.680
-106.599290367713;32.003280580094;42;6CM Anthony;705 Church St.;1167.689
-106.630588425044;31.9304164043978;46;6O La Union;7048 McNutt;1161.288
-106.682558413984;31.7880521322595;69;6ZN Santa Teresa;104-2 Santa Teresa Intl. Blvd.;1249.680
-106.583851701182;31.7961774275734;66;6ZM Desert View;5935 Valle Vista;1176.528
-106.557601218304;31.795846275676;56;6ZG Sunland Park;McNutt & Anapra Rd;1146.048
