lon|lat|elev|name
112:02:45|033:27:28|1,102 ft.|AQ Central Phoenix CP|
112:08:39|033:24:23|1,151 ft.|AQ West 43rd Ave WF|
112:01:02|033:49:18|1,904 ft.|AQ Cave Creek CC|
112:37:14|033:22:12|873 ft.|AQ Buckeye BE|
112:04:31|033:24:11|1,077 ft.|AQ South Phoenix SP|
112:03:58|033:33:37|1,245 ft.|AQ North Phoenix NP|
112:07:05|033:25:35|1,052 ft.|AQ Durango Complex DC|
111:55:01|033:28:46|1,052 ft.|AQ South Scottsdale SS|
112:20:30|033:38:13|1,190 ft.|AQ Dysart DY|
111:43:21|033:18:38|1,299 ft.|AQ Higley HI|
111:56:05|033:24:40|1,165 ft.|AQ Tempe TE|
111:53:03|033:17:56|1,192 ft.|AQ West Chandler WC|
112:17:39|033:41:12|1,252 ft.|AQ Zuni Hills ZH|
112:08:33|033:29:01|1,099 ft.|AQ West Phoenix WP|
112:05:10|033:41:04|1,452 ft.|AQ Deer Valley DV|
112:11:29|033:34:09|1,171 ft.|AQ Glendale GL|
111:51:54|033:24:37|1,224 ft.|AQ Mesa ME|
111:36:33|033:32:43|1,421 ft.|AQ Blue Point BP|
111:47:55|033:58:58|5,080 ft.|AQ Humbolt Mountain HM|
111:43:59|033:27:08|1,364 ft.|AQ Falcon Field FF|
111:51:09|033:42:44|2,388 ft.|AQ Pinnacle Peak PP|
111:43:31|033:36:39|1,680 ft.|AQ Fountain Hills FH|
111:40:18|033:43:07|1,581 ft.|AQ Rio Verde RV|
111:58:04|033:23:45|1,160 ft.|AQ Diablo|
112:07:41|033:27:41|1,080 ft.|AQ Thirty-Third|
