lon;lat;station_id;station_name;address;elev
-117.984928860994;46.3180049132575;116;Dayton-W Main St;206 W Main St;464
-122.627498526425;47.5926604721897;151;Bremerton-Spruce Ave;3250 Spruce Ave;78
-120.341905893817;47.4306138499438;152;Wenatchee-Fifth St;1300 Fifth Street;260
-117.342658204553;47.8084977781446;155;Colbert-Greenbluff Rd;4526 E Greenbluff Rd;577
-122.412031498484;45.8679038146846;71;Yacolt-Yacolt Rd;406 W Yacolt Rd;213
-119.518931544398;48.3999503258942;132;Omak-Colville Tribe;Corner of 8th Ave & Omak Okanogan Rd;263
-122.148212038586;47.60073252583;190;Bellevue-SE 12th St;-;92
-122.316689511483;47.8062736988662;156;Lynnwood-212 (ULT);6120 212th St SW;99
-120.19030678568;48.4771022946791;68;Winthrop-Chewuch Rd;24 W Chewuch Rd;536
-122.659547986251;48.2940437987269;118;Oak Harbor-SW 6th;150 SW 6th;10
-117.903144632436;48.5447258540502;173;Colville-E 1st St;261 E 1st Street;488
-120.664029714275;47.5977566137251;24;Leavenworth-Evans St;330 Evans St;357
-122.961981394323;46.1393831372302;25;Longview-30th Ave;1234 30th Ave;13
-120.729368374524;46.3754555220807;123;White Swan-Yakama Tribe;621 Signal Peak Rd;655
-123.100928090749;47.2135963895159;137;Shelton-W Franklin;122 W. Franklin;23
-122.308614848579;47.5681884761935;42;Seattle-Beacon Hill;4103 Beacon Ave S;102
-119.201164304972;46.2184612414543;20;Kennewick-Metaline;5929 Metaline;162
-119.002013210413;46.5754655271809;29;Mesa-Pepiot Way;200 Pepiot Way;224
-117.988669918922;47.8852714127316;65;Wellpinit-Spokane Tribe;6208 Ford Wellpinit Rd;743
-117.874033385116;46.8153895174703;21;LaCrosse-Hill St;111 Hill St;468
-122.32065137439;47.5296130829;46;Seattle-South Park;8201 10th Ave S;9
-122.171585736214;48.0542753370683;27;Marysville-7th Ave;1799 7th St;2
-122.560388380746;48.4653578067066;119;Anacortes-Bartholomew Rd;Bartholomew Rd (S Texaco Refinery);10
-118.381875102387;47.1280650399397;40;Ritzville-Alder St;109 W Alder;546
-117.369158815436;47.2311443716649;41;Rosalia-Josephine St;906 S Josephine Ave;685
-122.231964227801;47.3862247702427;2;Kent-Central & James;614 N Railroad;14
-123.831644424581;46.9725345311029;4;Aberdeen-Division St;359 N Division;1
-122.821577276057;47.0293974563971;1;Lacey-College St;1900 College St SE;70
-122.201888864902;47.6130697159524;5;Bellevue-Bellevue Way;305 Bellevue Way NE;52
-124.625035071765;48.2977680364755;9;Cheeka Peak;Cheeka Peak, WA;478
-122.442109997411;48.7625167552609;7;Bellingham-Yew St;2412 Yew Street;24
-122.688888;48.848065;188;Ferndale-Mountain View Rd;4050 Mountain View Rd;36
-122.147092575201;48.9476024097633;143;Maple Falls - Azure Way;6229 Auzure Way;50
-117.364966667969;47.6725461895857;120;Spokane-Augusta Ave;3104 E Augusta Ave;585
-120.094775626022;47.3378663850156;189;Malaga-Malaga Hwy;8100 Malaga Alcoa Hwy;20
-122.614266591097;48.5205695112826;141;Anacortes 202 Avenue;Corner of O Ave and 2nd Street;7
-122.338263830159;47.559975778762;76;Seattle-Duwamish;4700 East Marginal Way;5
-117.589067397675;47.6453849793135;108;Airway Heights-W 12th Ave;12824 W. 12th Ave;729
-119.998469922829;46.3197050572955;168;Sunnyside-S 16th St;810 S 16th St;217
-120.512250121618;46.5950331015085;72;Yakima-4th Ave;402 S 4th Ave;326
-122.967351301162;46.6640441083584;126;Chehalis-Market Blvd;350 N Market Blvd;72
-124.610573753182;48.3665538703661;127;Neah Bay 2-Makah Tribe;1321 Bay View Avenue;1
-122.587586262577;45.6433500530241;164;Vancouver NE 84th Ave;2722 NE 84th Ave;54
-123.436361790274;48.1149931128647;166;Port Angeles- E 5th St;102 E 5th St;75
-117.426396789587;47.699800315882;74;Spokane-Monroe St;4601 Monroe St N;634
-117.257667073361;47.6639533761043;106;Spokane-E Broadway Ave;11016 E Broadway Ave.;611
-120.023411426687;47.8382967589842;10;Chelan-Woodin Ave;428 W. Woodin Ave;327
-124.285398105508;47.3393125397956;56;Taholah-Quinault Tribe;600 Chitwhin Dr;14
-122.300368698838;47.1400951610676;38;Puyallup-128th St;9616 128th St E;135
-122.554374892136;48.9507947570279;15;Custer-Loomis;1330 Loomis Trail Rd;5
-120.121043210413;48.3645525375769;58;Twisp-Glover St;118 S Glover St;492
-120.544961584937;46.9938311781567;17;Ellensburg-Ruby St;201 N Ruby;500
-121.603072342228;48.2468121064532;16;Darrington-Fir St;1085 Fir St;182
-122.337538561238;48.4101723260688;32;Mt Vernon-S Second St;1600 S Second Street;7
-121.743671251944;46.7839591575214;31;Mt Rainier-Jackson Visitors Ctr;Jackson Visitor's Center;1782
-119.2737;47.1303716293492;30;Moses Lake-Balsam St;412 S. Balsam St;322
-117.180672119761;46.7245599535016;37;Pullman-Dexter SE;240 SE Dexter;771
-122.77897;48.12919;36;Port Townsend-San Juan Ave;3939 San Juan Avenue;20
-122.451559918922;47.186328371952;53;Tacoma- L Street;7802 L Street S;103
-121.772783559028;47.4902383270348;77;North Bend-North Bend Way;42404 North Bend Way SE;140
-122.7047;48.855274;184;Ferndale-Kickerville Road;6036 Kickerville Road;0
-122.384977235518;47.2655932415017;54;Tacoma-Alexander Ave;2301 Alexander Avenue;1
-118.351548252906;46.0587892667993;64;Walla Walla-12th St;200 12th St S;267
-117.059735032725;46.4255876257036;13;Clarkston-13th St;13th and Port  Way;250
-120.332765285728;46.3803185225257;57;Toppenish-Yakama Tribe;141 Ward Rd;216
