code|lat|lon|name|spider
46|42.501528107|-92.3162044449|Waterloo, Water Tower|iowa
4|41.8234469009|-90.2115603427|Clinton, Chancy Park|iowa
3|41.8749559473|-90.1774342706|Clinton, Rainbow Park|iowa
20|41.6581838968|-91.5034837383|Iowa City, Hoover School|iowa
27|40.9690448535|-95.0449845864|Viking Lake State Park|iowa
55|41.4014683118|-91.0684607139|Muscatine, High School East Campus|iowa
15|43.1239241863|-94.693509682|Emmetsburg, ILCC|iowa
6|41.5301353528|-90.5878207481|Davenport, 10th & Vine|iowa
50|41.5121683906|-90.624016|Davenport, Hayes School|iowa
8|40.6932073013|-92.0059125527|Lake Sugema|iowa
53|42.3275630228|-96.3680570932|Sioux City, Neal North|iowa
13|41.4069259415|-91.0616243872|Muscatine, Musser Park|iowa
12|41.4194305608|-91.0710086904|Muscatine, Greenwood Cemetery|iowa
2|41.4638033596|-90.6824487231|Buffalo, Linwood Mining|iowa
8|58.3882105525|-134.56765397|Floyd Dryden|alaska
20|64.7633479706|-147.309555561|FNSB NP Fire|alaska
1|61.2059164011|-149.824698151|Garden|alaska
5|61.3266793963|-149.569697798|Parkgate|alaska
10|61.5330554184|-149.034593136|Butte|alaska
13|61.5993121998|-149.10360433|Palmer|alaska
26|61.1811077949|-149.834040151|Laurel|alaska
17|64.8456852711|-147.727395755|FNSB NCORE|alaska
AQ Central Phoenix CP|33.4579803079|-112.046593736|AQ Central Phoenix CP|phoenix
AQ West 43rd Ave WF|33.4063266306|-112.144413842|AQ West 43rd Ave WF|phoenix
AQ Cave Creek CC|33.821678819|-112.017188565|AQ Cave Creek CC|phoenix
AQ Buckeye BE|33.3698986334|-112.620704762|AQ Buckeye BE|phoenix
AQ South Phoenix SP|33.4031434589|-112.075225154|AQ South Phoenix SP|phoenix
AQ North Phoenix NP|33.5603204312|-112.066192993|AQ North Phoenix NP|phoenix
AQ Durango Complex DC|33.4265585507|-112.118149359|AQ Durango Complex DC|phoenix
AQ South Scottsdale SS|33.4796559409|-111.917104705|AQ South Scottsdale SS|phoenix
AQ Dysart DY|33.6371879441|-112.341858271|AQ Dysart DY|phoenix
AQ Higley HI|33.3107058803|-111.722491226|AQ Higley HI|phoenix
AQ Tempe TE|33.4112380633|-111.934726587|AQ Tempe TE|phoenix
AQ West Chandler WC|33.298972005|-111.884273453|AQ West Chandler WC|phoenix
AQ Zuni Hills ZH|33.6871762113|-112.294161947|AQ Zuni Hills ZH|phoenix
AQ West Phoenix WP|33.4837843052|-112.142573119|AQ West Phoenix WP|phoenix
AQ Deer Valley DV|33.6845040656|-112.086346543|AQ Deer Valley DV|phoenix
AQ Glendale GL|33.56916667|-112.1913889|AQ Glendale GL|phoenix
AQ Mesa ME|33.4101874469|-111.86535682|AQ Mesa ME|phoenix
AQ Blue Point BP|33.5455337311|-111.609310013|AQ Blue Point BP|phoenix
AQ Humbolt Mountain HM|33.9807454207|-111.797708814|AQ Humbolt Mountain HM|phoenix
AQ Falcon Field FF|33.452328371|-111.733216461|AQ Falcon Field FF|phoenix
AQ Pinnacle Peak PP|33.7122562808|-111.852628689|AQ Pinnacle Peak PP|phoenix
AQ Fountain Hills FH|33.6109271076|-111.725355306|AQ Fountain Hills FH|phoenix
AQ Rio Verde RV|33.7184164912|-111.671713496|AQ Rio Verde RV|phoenix
AQ Diablo|33.39623257|-111.967989845|AQ Diablo|phoenix
AQ Thirty-Third|33.4617304889|-112.127926911|AQ Thirty-Third|phoenix
9|32.42526|-111.063519|Tangerine|tucson
12|32.3807979537|-111.127179626|Coachline|tucson
2|32.2951239367|-110.982301028|Childrens Park NCore|tucson
10|32.2518502522|-110.965306056|Geronimo|tucson
4|32.25658963|-110.94866714|Cherry & Glenn|tucson
11|32.1730023199|-110.980137626|Rose Elementary|tucson
3|32.20739|-110.910634|Alvernon & 22nd|tucson
6|32.2044194275|-110.878069514|Craycroft & 22nd|tucson
13|32.1912054464|-110.840594084|Golf Links|tucson
7|32.1745752386|-110.737158738|Saguaro Park East|tucson
8|32.047670411|-110.774377084|Fairgrounds|tucson
5|31.8795071913|-110.99649028|Green Valley|tucson
15|31.827282|-111.011128|Green Valley Fire|tucson
MURI1|41.3728716494|-111.042259121|Murphy Ridge|wyoming
MOXA1|41.7505422291|-109.788469019|Moxa Arch|wyoming
WYHI1|41.1580029652|-108.619476779|Hiawatha|wyoming
WAMS1|41.6777150735|-108.024134548|Wamsutter|wyoming
SOPA1|42.527642599|-108.72034835|South Pass|wyoming
WYJS1|42.4064430202|-109.560166266|Juel Spring|wyoming
WYBP1|42.4866652101|-110.099124234|Big Piney|wyoming
SHEL1|42.719025518|-109.752844599|Boulder|wyoming
WYPD1|42.8698533664|-109.870820228|Pinedale|wyoming
WYCH1|41.130738752|-104.753179126|Cheyenne Mobile|wyoming
CHEY1|41.1822615515|-104.77871203|Cheyenne NCore|wyoming
CASP1|42.8222628853|-106.365053638|Casper|wyoming
WYCA1|42.8458020081|-106.277390172|Casper Mobile|wyoming
WYCV1|43.1012952353|-105.498980953|Converse County|wyoming
CACO1|44.1470970618|-105.530286888|Campbell County|wyoming
TBNG1|44.6633382854|-105.287397344|Thunder Basin National Grassland|wyoming
116|46.3180049133|-117.984928861|Dayton-W Main St|washington
151|47.5926604722|-122.627498526|Bremerton-Spruce Ave|washington
152|47.4306138499|-120.341905894|Wenatchee-Fifth St|washington
155|47.8084977781|-117.342658205|Colbert-Greenbluff Rd|washington
71|45.8679038147|-122.412031498|Yacolt-Yacolt Rd|washington
132|48.3999503259|-119.518931544|Omak-Colville Tribe|washington
190|47.6007325258|-122.148212039|Bellevue-SE 12th St|washington
156|47.8062736989|-122.316689511|Lynnwood-212 (ULT)|washington
68|48.4771022947|-120.190306786|Winthrop-Chewuch Rd|washington
118|48.2940437987|-122.659547986|Oak Harbor-SW 6th|washington
173|48.5447258541|-117.903144632|Colville-E 1st St|washington
24|47.5977566137|-120.664029714|Leavenworth-Evans St|washington
25|46.1393831372|-122.961981394|Longview-30th Ave|washington
123|46.3754555221|-120.729368375|White Swan-Yakama Tribe|washington
137|47.2135963895|-123.100928091|Shelton-W Franklin|washington
42|47.5681884762|-122.308614849|Seattle-Beacon Hill|washington
20|46.2184612415|-119.201164305|Kennewick-Metaline|washington
29|46.5754655272|-119.00201321|Mesa-Pepiot Way|washington
65|47.8852714127|-117.988669919|Wellpinit-Spokane Tribe|washington
21|46.8153895175|-117.874033385|LaCrosse-Hill St|washington
46|47.5296130829|-122.320651374|Seattle-South Park|washington
27|48.0542753371|-122.171585736|Marysville-7th Ave|washington
119|48.4653578067|-122.560388381|Anacortes-Bartholomew Rd|washington
40|47.1280650399|-118.381875102|Ritzville-Alder St|washington
41|47.2311443717|-117.369158815|Rosalia-Josephine St|washington
2|47.3862247702|-122.231964228|Kent-Central & James|washington
4|46.9725345311|-123.831644425|Aberdeen-Division St|washington
1|47.0293974564|-122.821577276|Lacey-College St|washington
5|47.613069716|-122.201888865|Bellevue-Bellevue Way|washington
9|48.2977680365|-124.625035072|Cheeka Peak|washington
7|48.7625167553|-122.442109997|Bellingham-Yew St|washington
188|48.848065|-122.688888|Ferndale-Mountain View Rd|washington
143|48.9476024098|-122.147092575|Maple Falls - Azure Way|washington
120|47.6725461896|-117.364966668|Spokane-Augusta Ave|washington
189|47.337866385|-120.094775626|Malaga-Malaga Hwy|washington
141|48.5205695113|-122.614266591|Anacortes 202 Avenue|washington
76|47.5599757788|-122.33826383|Seattle-Duwamish|washington
108|47.6453849793|-117.589067398|Airway Heights-W 12th Ave|washington
168|46.3197050573|-119.998469923|Sunnyside-S 16th St|washington
72|46.5950331015|-120.512250122|Yakima-4th Ave|washington
126|46.6640441084|-122.967351301|Chehalis-Market Blvd|washington
127|48.3665538704|-124.610573753|Neah Bay 2-Makah Tribe|washington
164|45.643350053|-122.587586263|Vancouver NE 84th Ave|washington
166|48.1149931129|-123.43636179|Port Angeles- E 5th St|washington
74|47.6998003159|-117.42639679|Spokane-Monroe St|washington
106|47.6639533761|-117.257667073|Spokane-E Broadway Ave|washington
10|47.838296759|-120.023411427|Chelan-Woodin Ave|washington
56|47.3393125398|-124.285398106|Taholah-Quinault Tribe|washington
38|47.1400951611|-122.300368699|Puyallup-128th St|washington
15|48.950794757|-122.554374892|Custer-Loomis|washington
