№;X;Y
1;5379351.194;1208418.342
2;5379349.694;1208775.943
3;5379083.896;1208577.792
4;5379081.571;1208574.830
5;5379060.421;1208541.117
6;5379189.945;1208476.992
7;5379191.520;1208476.842
8;5379193.320;1208476.954
9;5379195.045;1208477.292
10;5379197.182;1208478.267
11;5379199.470;1208479.917
12;5379209.032;1208488.204
13;5379225.532;1208502.567
14;5379231.007;1208507.554
15;5379232.507;1208508.492
16;5379233.220;1208508.679
17;5379234.232;1208508.792
18;5379247.657;1208500.954
19;5379250.544;1208499.117
20;5379246.344;1208492.967
21;5379249.307;1208490.454
22;5379225.007;1208459.704
23;5379295.019;1208424.754
24;5379305.894;1208439.942
1;5379351.194;1208418.342
