station_name;state;abr;station_id;lat;lon;elev
Big Bend K-Bar Ranch Road;TX;BIBE-KB;48-043-0101;29.3022;-103.1772;1052
Canyonlands Island in the Sky;UT;CANY-IS;49-037-0101;38.4586;-109.8211;1809
Carlsbad Caverns Maintenance Area;NM;CAVE-MA;35-015-3001;32.1792;-104.4417;1310
Chiricahua Entrance Station;AZ;CHIR-ES;04-003-8001;32.0092;-109.3892;1570
City of Rocks Juniper Campground;ID;CIRO-JC;16-031-0001;42.0289;-113.7292;1914
Colorado Maintenance Yard;CO;COLM-MY;08-077-1001;39.1067;-108.7411;1740
Craters of the Moon Visitor Center;ID;CRMO-VC;16-023-0101;43.4606;-113.5622;1815
Cumberland Gap Hensley Settlement;TN;CUGA-HS;21-013-1002;36.6719;-83.5264;1013
Death Valley Park Village;CA;DEVA-PV;06-027-0101;36.5092;-116.8481;125
Denali Headquarters;AK;DENA-HQ;02-068-0003;63.7258;-148.9633;661
Devil’s Tower Joyner Ridge Trail;WY;DETO-JR;56-011-1013;44.5969;-104.7047;1200
Dinosaur West Entrance Housing;UT;DINO-WE;49-047-1002;40.2917;-108.9417;2072
Everglades Beard Center;FL;EVER-BC;12-086-0030;25.3911;-80.6806;2
Glacier West Glacier Horse Stables;MT;GLAC-WG;30-029-8001;48.5103;-113.9956;976
Grand Canyon The Abyss;AZ;GRCA-AS;04-005-8001;36.0597;-112.1822;2073
Grand Teton Science School;WY;GRTE-SS;56-039-0008;43.6708;-110.5994;2105
Great Basin Maintenance Yard;NV;GRBA-MY;32-033-0101;39.0053;-114.2158;2060
Great Smoky Mountains Clingmans Dome;TN;GRSM-CD;47-155-0102;35.5619;-83.4981;2021
Great Smoky Mountains Cove Mountain;TN;GRSM-CM;47-155-0101;35.6967;-83.6086;1243
Great Smoky Mountains Look Rock;TN;GRSM-LR;47-009-0101;35.6331;-83.9422;793
Hawaii Volcanoes Observatory /Jaggar Museum;HI;HAVO-OB;15-001-0007;19.4203;-155.2881;1123
Hawaii Volcanoes Visitor Center;HI;HAVO-VC;15-001-0005;19.4308;-155.2578;1215
Joshua Tree Black Rock;CA;JOTR-BR;06-071-9002;34.0714;-116.3906;1244
Joshua Tree Cottonwood Canyon;CA;JOTR-CC;06-065-0008;33.7411;-115.8206;984
Joshua Tree Pinto Wells;CA;JOTR-PW;06-065-1004;33.9397;-115.4108;326
Kings Mountain Brown’s Mountain;SC;KIMO-BM;45-021-0003;35.1314;-81.405;340
Lassen Volcanic Manzanita Lake Fire Station;CA;LAVO-ML;06-089-3003;40.5403;-121.5764;1756
Little River Canyon Canyon High;AL;LIRI-CH;-;34.3669;-85.6642;372
